,Featurename,mz,RT,Average.coef.across models,%.models.present,platfrom,compound_id,compound_name,kegg_id,formula,monoisotopic_mass,adduct,adduct_type,adduct_m.z,delta.ppm.
474,1.49_154.0844m/z,154.0844,1.49,-0.131317747,100,uRPOS,HMDB0171681,SCHEMBL12506706,n/a,C6H13NO2,131.0946287,M+Na,+,154.083847,4
475,1.49_154.0844m/z,154.0844,1.49,-0.131317747,100,uRPOS,HMDB0168720,2-[ethyl(1-hydroxyethyl)amino]acetaldehyde,n/a,C6H13NO2,131.0946287,M+Na,+,154.083847,4
476,1.49_154.0844m/z,154.0844,1.49,-0.131317747,100,uRPOS,HMDB0061716,N-methylvaline,n/a,C6H13NO2,131.0946287,M+Na,+,154.083847,4
477,1.49_154.0844m/z,154.0844,1.49,-0.131317747,100,uRPOS,HMDB0000172,L-Isoleucine,C00407,C6H13NO2,131.0946287,M+Na,+,154.083847,4
478,1.49_154.0844m/z,154.0844,1.49,-0.131317747,100,uRPOS,HMDB0062052,4-(dimethylamino)butanoic acid,n/a,C6H13NO2,131.0946287,M+Na,+,154.083847,4
479,1.49_154.0844m/z,154.0844,1.49,-0.131317747,100,uRPOS,HMDB0013812,1-Nitrohexane,n/a,C6H14NO2,132.1024537,M+Na,+,154.084396,0
480,1.49_154.0844m/z,154.0844,1.49,-0.131317747,100,uRPOS,HMDB0029168,3-Aminocaproic acid,n/a,C6H13NO2,131.0946287,M+Na,+,154.083847,4
481,1.49_154.0844m/z,154.0844,1.49,-0.131317747,100,uRPOS,HMDB0062203,L-Leucine,C00123,C6H13NO2,131.0946287,M+Na,+,154.083847,4
482,1.49_154.0844m/z,154.0844,1.49,-0.131317747,100,uRPOS,HMDB0036382,6-Deoxyfagomine,n/a,C6H13NO2,131.0946287,M+Na,+,154.083847,4
483,1.49_154.0844m/z,154.0844,1.49,-0.131317747,100,uRPOS,HMDB0168719,SCHEMBL6203485,n/a,C6H13NO2,131.0946287,M+Na,+,154.083847,4
484,1.49_154.0844m/z,154.0844,1.49,-0.131317747,100,uRPOS,HMDB0005765,Ophthalmic acid,n/a,C11H19N3O6,289.1273854,M+H+NH4,+,154.084243,1
485,1.49_154.0844m/z,154.0844,1.49,-0.131317747,100,uRPOS,HMDB0000687,L-Leucine,C00123,C6H13NO2,131.0946287,M+Na,+,154.083847,4
486,1.49_154.0844m/z,154.0844,1.49,-0.131317747,100,uRPOS,HMDB0001901,Aminocaproic acid,C02378,C6H13NO2,131.0946287,M+Na,+,154.083847,4
487,1.49_154.0844m/z,154.0844,1.49,-0.131317747,100,uRPOS,HMDB0168721,SCHEMBL12464630,n/a,C6H13NO2,131.0946287,M+Na,+,154.083847,4
488,1.49_154.0844m/z,154.0844,1.49,-0.131317747,100,uRPOS,HMDB0033923,(±)-erythro-isoleucine,C16434,C6H13NO2,131.0946287,M+Na,+,154.083847,4
489,1.49_154.0844m/z,154.0844,1.49,-0.131317747,100,uRPOS,HMDB0168722,"N,N-diethyl-2-oxoethanamine oxide",n/a,C6H13NO2,131.0946287,M+Na,+,154.083847,4
490,1.49_154.0844m/z,154.0844,1.49,-0.131317747,100,uRPOS,HMDB0013773,D-Leucine,C01570,C6H13NO2,131.0946287,M+Na,+,154.083847,4
492,0.63_159.0801m/z,159.0801,0.63,0.132625153,100,sLPOS,HMDB0060303,(2-Naphthyl)methanol,C02909,C11H10O,158.0731649,M+H,+,159.080441,2
493,0.63_159.0801m/z,159.0801,0.63,0.132625153,100,sLPOS,HMDB0142478,3-[(1E)-1-(4-hydroxyphenyl)-2-phenylbut-1-en-1-yl]phenol,n/a,C22H20O2,316.1463299,M+2H,+,159.080441,2
494,0.63_159.0801m/z,159.0801,0.63,0.132625153,100,sLPOS,HMDB0032861,2-Methoxynaphthalene,n/a,C11H10O,158.0731649,M+H,+,159.080441,2
495,0.63_159.0801m/z,159.0801,0.63,0.132625153,100,sLPOS,HMDB0060322,1-Hydroxymethylnaphthalene,C14089,C11H10O,158.0731649,M+H,+,159.080441,2
496,0.63_159.0801m/z,159.0801,0.63,0.132625153,100,sLPOS,HMDB0061285,1-Hydroxymethylnaphthalene,C14089,C11H10O,158.0731649,M+H,+,159.080441,2
1226,1.49_191.0550n,191.055,1.49,0.140588917,100,uRPOS,HMDB0158118,"[(15S)-5-hydroxy-15-methyl-13,14-dioxotetracyclo[8.7.0.0²,⁷.0¹¹,¹⁵]heptadeca-2,4,6-trien-17-yl]oxidanesulfonic acid",n/a,C18H20O7S,380.0929742,M+2H,+,191.053763,6
1227,1.49_191.0550n,191.055,1.49,0.140588917,100,uRPOS,HMDB0140243,"{2-[7-hydroxy-2-(3-methoxyphenyl)-3-methyl-2,3-dihydro-1-benzofuran-5-yl]ethoxy}sulfonic acid",n/a,C18H20O7S,380.0929742,M+2H,+,191.053763,6
1228,1.49_191.0550n,191.055,1.49,0.140588917,100,uRPOS,HMDB0183470,3-[(1E)-2-carboxyeth-1-en-1-yl]oxirane-2-carboxylic acid,n/a,C6H6O5,158.0215233,M+CH3OH+H,+,191.055012,0
1229,1.49_191.0550n,191.055,1.49,0.140588917,100,uRPOS,HMDB0158114,"[(15S)-10-hydroxy-15-methyl-13,14-dioxotetracyclo[8.7.0.0²,⁷.0¹¹,¹⁵]heptadeca-2,4,6-trien-5-yl]oxidanesulfonic acid",n/a,C18H20O7S,380.0929742,M+2H,+,191.053763,6
1230,1.49_191.0550n,191.055,1.49,0.140588917,100,uRPOS,HMDB0158097,"{[(15S)-5-hydroxy-13,14-dioxotetracyclo[8.7.0.0²,⁷.0¹¹,¹⁵]heptadeca-2,4,6-trien-15-yl]methoxy}sulfonic acid",n/a,C18H20O7S,380.0929742,M+2H,+,191.053763,6
1231,1.49_191.0550n,191.055,1.49,0.140588917,100,uRPOS,HMDB0158121,"[(15R)-5-hydroxy-15-methyl-13,14-dioxotetracyclo[8.7.0.0²,⁷.0¹¹,¹⁵]heptadeca-2,4,6-trien-16-yl]oxidanesulfonic acid",n/a,C18H20O7S,380.0929742,M+2H,+,191.053763,6
1232,1.49_191.0550n,191.055,1.49,0.140588917,100,uRPOS,HMDB0158095,"[(15S)-9-hydroxy-15-methyl-13,14-dioxotetracyclo[8.7.0.0²,⁷.0¹¹,¹⁵]heptadeca-2,4,6-trien-5-yl]oxidanesulfonic acid",n/a,C18H20O7S,380.0929742,M+2H,+,191.053763,6
1233,1.49_191.0550n,191.055,1.49,0.140588917,100,uRPOS,HMDB0150338,"{[3-hydroxy-1,2-bis(4-methoxyphenyl)but-3-en-1-yl]oxy}sulfonic acid",n/a,C18H20O7S,380.0929742,M+2H,+,191.053763,6
1234,1.49_191.0550n,191.055,1.49,0.140588917,100,uRPOS,HMDB0012710,3-Dehydroquinate,C00944,C7H10O6,190.0477381,M+H,+,191.055014,0
1235,1.49_191.0550n,191.055,1.49,0.140588917,100,uRPOS,HMDB0137818,"benzene-1,2,3,4,5-pentol",n/a,C6H6O5,158.0215233,M+CH3OH+H,+,191.055012,0
1236,1.49_191.0550n,191.055,1.49,0.140588917,100,uRPOS,HMDB0158104,"[(15S)-8-hydroxy-15-methyl-13,14-dioxotetracyclo[8.7.0.0²,⁷.0¹¹,¹⁵]heptadeca-2(7),3,5-trien-5-yl]oxidanesulfonic acid",n/a,C18H20O7S,380.0929742,M+2H,+,191.053763,6
1237,1.49_191.0550n,191.055,1.49,0.140588917,100,uRPOS,HMDB0240329,3-carboxyhexanedioate,n/a,C7H8O6,188.0331851,M+H,+,191.055013,0
1238,1.49_191.0550n,191.055,1.49,0.140588917,100,uRPOS,HMDB0158109,"[(15S)-5-hydroxy-15-methyl-13,14-dioxotetracyclo[8.7.0.0²,⁷.0¹¹,¹⁵]heptadeca-2,4,6-trien-12-yl]oxidanesulfonic acid",n/a,C18H20O7S,380.0929742,M+2H,+,191.053763,6
1239,1.49_191.0550n,191.055,1.49,0.140588917,100,uRPOS,HMDB0158101,"[(15S)-4-hydroxy-15-methyl-13,14-dioxotetracyclo[8.7.0.0²,⁷.0¹¹,¹⁵]heptadeca-2,4,6-trien-5-yl]oxidanesulfonic acid",n/a,C18H20O7S,380.0929742,M+2H,+,191.053763,6
1240,1.49_191.0550n,191.055,1.49,0.140588917,100,uRPOS,HMDB0158094,"[(15S)-5-hydroxy-15-methyl-13,14-dioxotetracyclo[8.7.0.0²,⁷.0¹¹,¹⁵]heptadeca-2,4,6-trien-9-yl]oxidanesulfonic acid",n/a,C18H20O7S,380.0929742,M+2H,+,191.053763,6
1241,1.49_191.0550n,191.055,1.49,0.140588917,100,uRPOS,HMDB0158107,"[(15S)-3-hydroxy-15-methyl-13,14-dioxotetracyclo[8.7.0.0²,⁷.0¹¹,¹⁵]heptadeca-2,4,6-trien-5-yl]oxidanesulfonic acid",n/a,C18H20O7S,380.0929742,M+2H,+,191.053763,6
1242,1.49_191.0550n,191.055,1.49,0.140588917,100,uRPOS,HMDB0158119,"[(15S)-17-hydroxy-15-methyl-13,14-dioxotetracyclo[8.7.0.0²,⁷.0¹¹,¹⁵]heptadeca-2,4,6-trien-5-yl]oxidanesulfonic acid",n/a,C18H20O7S,380.0929742,M+2H,+,191.053763,6
1243,1.49_191.0550n,191.055,1.49,0.140588917,100,uRPOS,HMDB0037815,5-(Methylthio)-2-[(methylthio)methyl]-2-pentenal,n/a,C8H14OS2,190.0486065,M+H,+,191.055882,5
1244,1.49_191.0550n,191.055,1.49,0.140588917,100,uRPOS,HMDB0186481,"(1S)-1,3,4-trihydroxy-5-oxocyclohexane-1-carboxylic acid",n/a,C7H10O6,190.047738,M+H,+,191.055014,0
1245,1.49_191.0550n,191.055,1.49,0.140588917,100,uRPOS,HMDB0158116,"[(15S)-1-hydroxy-15-methyl-13,14-dioxotetracyclo[8.7.0.0²,⁷.0¹¹,¹⁵]heptadeca-2,4,6-trien-5-yl]oxidanesulfonic acid",n/a,C18H20O7S,380.0929742,M+2H,+,191.053763,6
1246,1.49_191.0550n,191.055,1.49,0.140588917,100,uRPOS,HMDB0158098,"[(15S)-15-(hydroxymethyl)-13,14-dioxotetracyclo[8.7.0.0²,⁷.0¹¹,¹⁵]heptadeca-2,4,6-trien-5-yl]oxidanesulfonic acid",n/a,C18H20O7S,380.0929742,M+2H,+,191.053763,6
1247,1.49_191.0550n,191.055,1.49,0.140588917,100,uRPOS,HMDB0037759,2-Methylene-4-oxopentanedioic acid,C06035,C6H6O5,158.0215233,M+CH3OH+H,+,191.055012,0
1248,1.49_191.0550n,191.055,1.49,0.140588917,100,uRPOS,HMDB0158112,"[(15S)-11-hydroxy-15-methyl-13,14-dioxotetracyclo[8.7.0.0²,⁷.0¹¹,¹⁵]heptadeca-2,4,6-trien-5-yl]oxidanesulfonic acid",n/a,C18H20O7S,380.0929742,M+2H,+,191.053763,6
1249,1.49_191.0550n,191.055,1.49,0.140588917,100,uRPOS,HMDB0158110,"[(15S)-12-hydroxy-15-methyl-13,14-dioxotetracyclo[8.7.0.0²,⁷.0¹¹,¹⁵]heptadeca-2,4,6-trien-5-yl]oxidanesulfonic acid",n/a,C18H20O7S,380.0929742,M+2H,+,191.053763,6
1250,1.49_191.0550n,191.055,1.49,0.140588917,100,uRPOS,HMDB0130655,"(7-hydroxy-5-methoxy-6,8-dimethyl-2-phenyl-3,4-dihydro-2H-1-benzopyran-4-yl)oxidanesulfonic acid",n/a,C18H20O7S,380.0929742,M+2H,+,191.053763,6
1251,1.49_191.0550n,191.055,1.49,0.140588917,100,uRPOS,HMDB0158103,"[(15S)-5-hydroxy-15-methyl-13,14-dioxotetracyclo[8.7.0.0²,⁷.0¹¹,¹⁵]heptadeca-2(7),3,5-trien-8-yl]oxidanesulfonic acid",n/a,C18H20O7S,380.0929742,M+2H,+,191.053763,6
1252,1.49_191.0550n,191.055,1.49,0.140588917,100,uRPOS,HMDB0059927,2-Hydroxy-2-(2-oxopropyl)butanedioic acid,n/a,C7H10O6,190.0477381,M+H,+,191.055014,0
1253,1.49_191.0550n,191.055,1.49,0.140588917,100,uRPOS,HMDB0031210,Zymonic acid,n/a,C6H6O5,158.0215233,M+CH3OH+H,+,191.055012,0
1254,1.49_191.0550n,191.055,1.49,0.140588917,100,uRPOS,HMDB0060348,2-Maleylacetate,C02222,C6H6O5,158.0215233,M+CH3OH+H,+,191.055012,0
1255,1.49_191.0550n,191.055,1.49,0.140588917,100,uRPOS,HMDB0240294,2-O-Methylascorbic acid,n/a,C7H10O6,190.047738,M+H,+,191.055014,0
1256,1.49_191.0550n,191.055,1.49,0.140588917,100,uRPOS,HMDB0158122,"[(15R)-16-hydroxy-15-methyl-13,14-dioxotetracyclo[8.7.0.0²,⁷.0¹¹,¹⁵]heptadeca-2,4,6-trien-5-yl]oxidanesulfonic acid",n/a,C18H20O7S,380.0929742,M+2H,+,191.053763,6
1257,1.49_191.0550n,191.055,1.49,0.140588917,100,uRPOS,HMDB0186917,4-methanimidamido-1-methyl-1H-imidazole-5-carboxylic acid,n/a,C6H8N4O2,168.0647255,M+Na,+,191.053944,6
1271,1.09_192.0259n,192.0259,1.09,0.170953353,100,uRPOS,HMDB0152665,"[4-(7,8-dihydroxy-6-methoxy-4-oxo-3,4-dihydro-2H-1-benzopyran-3-yl)phenyl]oxidanesulfonic acid",n/a,C16H14O9S,382.0358532,M+2H,+,192.025203,4
1272,1.09_192.0259n,192.0259,1.09,0.170953353,100,uRPOS,HMDB0174968,"[2,5-dihydroxy-7-(hydroxymethyl)-4-methoxy-10-oxo-9,10-dihydroanthracen-9-yl]oxidanesulfonic acid",n/a,C16H14O9S,382.0358532,M+2H,+,192.025203,4
1273,1.09_192.0259n,192.0259,1.09,0.170953353,100,uRPOS,HMDB0126592,"[5,7-dihydroxy-2-(3-methoxyphenyl)-4-oxo-3,4-dihydro-2H-1-benzopyran-3-yl]oxidanesulfonic acid",n/a,C16H14O9S,382.0358532,M+2H,+,192.025203,4
1274,1.09_192.0259n,192.0259,1.09,0.170953353,100,uRPOS,HMDB0153799,"[5-hydroxy-2-(4-hydroxyphenyl)-7-methoxy-4-oxo-3,4-dihydro-2H-1-benzopyran-3-yl]oxidanesulfonic acid",n/a,C16H14O9S,382.0358532,M+2H,+,192.025203,4
1275,1.09_192.0259n,192.0259,1.09,0.170953353,100,uRPOS,HMDB0174967,"[(4,7,9-trihydroxy-5-methoxy-10-oxo-9,10-dihydroanthracen-2-yl)methoxy]sulfonic acid",n/a,C16H14O9S,382.0358532,M+2H,+,192.025203,4
1276,1.09_192.0259n,192.0259,1.09,0.170953353,100,uRPOS,HMDB0147548,"[4-(5,7-dihydroxy-4-oxo-3,4-dihydro-2H-1-benzopyran-3-yl)-2-methoxyphenyl]oxidanesulfonic acid",n/a,C16H14O9S,382.0358532,M+2H,+,192.025203,4
1277,1.09_192.0259n,192.0259,1.09,0.170953353,100,uRPOS,HMDB0153511,"{5-[(5,7-dihydroxy-4-oxo-3,4-dihydro-2H-1-benzopyran-3-yl)methyl]-2-hydroxyphenyl}oxidanesulfonic acid",n/a,C16H14O9S,382.0358532,M+2H,+,192.025203,4
1278,1.09_192.0259n,192.0259,1.09,0.170953353,100,uRPOS,HMDB0153798,"[4-(3,5-dihydroxy-7-methoxy-4-oxo-3,4-dihydro-2H-1-benzopyran-2-yl)phenyl]oxidanesulfonic acid",n/a,C16H14O9S,382.0358532,M+2H,+,192.025203,4
1279,1.09_192.0259n,192.0259,1.09,0.170953353,100,uRPOS,HMDB0152600,"[2-hydroxy-5-(7-hydroxy-6-methoxy-4-oxo-3,4-dihydro-2H-1-benzopyran-3-yl)phenyl]oxidanesulfonic acid",n/a,C16H14O9S,382.0358532,M+2H,+,192.025203,4
1280,1.09_192.0259n,192.0259,1.09,0.170953353,100,uRPOS,HMDB0126058,"{3-[3-(3,4-dihydroxyphenyl)-3-oxoprop-1-en-1-yl]-6-hydroxy-2-methoxyphenyl}oxidanesulfonic acid",n/a,C16H14O9S,382.0358532,M+2H,+,192.025203,4
1281,1.09_192.0259n,192.0259,1.09,0.170953353,100,uRPOS,HMDB0151489,"(5,6,7-trihydroxy-8-methyl-4-oxo-2-phenyl-3,4-dihydro-2H-1-benzopyran-3-yl)oxidanesulfonic acid",n/a,C16H14O9S,382.0358532,M+2H,+,192.025203,4
1282,1.09_192.0259n,192.0259,1.09,0.170953353,100,uRPOS,HMDB0126059,"{5-[3-(3,4-dihydroxy-2-methoxyphenyl)prop-2-enoyl]-2-hydroxyphenyl}oxidanesulfonic acid",n/a,C16H14O9S,382.0358532,M+2H,+,192.025203,4
1283,1.09_192.0259n,192.0259,1.09,0.170953353,100,uRPOS,HMDB0149283,"{[4-hydroxy-3-methylidene-1-({7-oxo-7H-furo[3,2-g]chromen-4-yl}oxy)butan-2-yl]oxy}sulfonic acid",n/a,C16H14O9S,382.0358532,M+2H,+,192.025203,4
1284,1.09_192.0259n,192.0259,1.09,0.170953353,100,uRPOS,HMDB0131737,[2-hydroxy-4-(5-hydroxy-6-methoxy-1-benzofuran-2-yl)-6-methoxyphenyl]oxidanesulfonic acid,n/a,C16H14O9S,382.0358532,M+2H,+,192.025203,4
1285,1.09_192.0259n,192.0259,1.09,0.170953353,100,uRPOS,HMDB0185619,2-Methoxy-4-nitrophenol,C17386,C7H7NO4,169.0375077,M+Na,+,192.026726,4
1286,1.09_192.0259n,192.0259,1.09,0.170953353,100,uRPOS,HMDB0148687,"[4-(5,6-dihydroxy-7-methoxy-4-oxo-3,4-dihydro-2H-1-benzopyran-3-yl)phenyl]oxidanesulfonic acid",n/a,C16H14O9S,382.0358532,M+2H,+,192.025203,4
1287,1.09_192.0259n,192.0259,1.09,0.170953353,100,uRPOS,HMDB0146314,"[3-(5,6-dihydroxy-7-methoxy-4-oxo-3,4-dihydro-2H-1-benzopyran-3-yl)phenyl]oxidanesulfonic acid",n/a,C16H14O9S,382.0358532,M+2H,+,192.025203,4
1288,1.09_192.0259n,192.0259,1.09,0.170953353,100,uRPOS,HMDB0153414,"{2-hydroxy-5-[(6-hydroxy-7-methoxy-3-oxo-2,3-dihydro-1-benzofuran-2-yl)methyl]phenyl}oxidanesulfonic acid",n/a,C16H14O9S,382.0358532,M+2H,+,192.025203,4
1289,1.09_192.0259n,192.0259,1.09,0.170953353,100,uRPOS,HMDB0174972,"[1,6-dihydroxy-3-(hydroxymethyl)-8-methoxy-10-oxo-9,10-dihydroanthracen-9-yl]oxidanesulfonic acid",n/a,C16H14O9S,382.0358532,M+2H,+,192.025203,4
1290,1.09_192.0259n,192.0259,1.09,0.170953353,100,uRPOS,HMDB0149287,"[1-(2-methyloxiran-2-yl)-2-({7-oxo-7H-furo[3,2-g]chromen-4-yl}oxy)ethoxy]sulfonic acid",n/a,C16H14O9S,382.0358532,M+2H,+,192.025203,4
1291,1.09_192.0259n,192.0259,1.09,0.170953353,100,uRPOS,HMDB0153254,"[4-(5,7-dihydroxy-8-methoxy-4-oxo-3,4-dihydro-2H-1-benzopyran-2-yl)phenyl]oxidanesulfonic acid",n/a,C16H14O9S,382.0358532,M+2H,+,192.025203,4
1292,1.09_192.0259n,192.0259,1.09,0.170953353,100,uRPOS,HMDB0174971,"[(4,7,10-trihydroxy-5-methoxy-9-oxo-9,10-dihydroanthracen-2-yl)methoxy]sulfonic acid",n/a,C16H14O9S,382.0358532,M+2H,+,192.025203,4
1293,1.09_192.0259n,192.0259,1.09,0.170953353,100,uRPOS,HMDB0150305,"{[5,7-dihydroxy-2-(4-hydroxyphenyl)-4-oxo-3,4-dihydro-2H-1-benzopyran-6-yl]methoxy}sulfonic acid",n/a,C16H14O9S,382.0358532,M+2H,+,192.025203,4
1294,1.09_192.0259n,192.0259,1.09,0.170953353,100,uRPOS,HMDB0152716,"[4-(5,7-dihydroxy-6-methoxy-4-oxo-3,4-dihydro-2H-1-benzopyran-3-yl)phenyl]oxidanesulfonic acid",n/a,C16H14O9S,382.0358532,M+2H,+,192.025203,4
1295,1.09_192.0259n,192.0259,1.09,0.170953353,100,uRPOS,HMDB0012247,"L-2,3-Dihydrodipicolinate",C03340,C7H7NO4,169.0375077,M+Na,+,192.026726,4
1296,1.09_192.0259n,192.0259,1.09,0.170953353,100,uRPOS,HMDB0147819,"[3-(5,6-dimethoxy-1-benzofuran-2-yl)-2,6-dihydroxyphenyl]oxidanesulfonic acid",n/a,C16H14O9S,382.0358532,M+2H,+,192.025203,4
1297,1.09_192.0259n,192.0259,1.09,0.170953353,100,uRPOS,HMDB0132185,"(5,7-dihydroxy-8-methoxy-4-oxo-2-phenyl-3,4-dihydro-2H-1-benzopyran-3-yl)oxidanesulfonic acid",n/a,C16H14O9S,382.0358532,M+2H,+,192.025203,4
1298,1.09_192.0259n,192.0259,1.09,0.170953353,100,uRPOS,HMDB0000439,2-Furoylglycine,n/a,C7H7NO4,169.0375077,M+Na,+,192.026726,4
1299,1.09_192.0259n,192.0259,1.09,0.170953353,100,uRPOS,HMDB0137342,"[3-(5,7-dihydroxy-6-methoxy-4-oxo-3,4-dihydro-2H-1-benzopyran-2-yl)phenyl]oxidanesulfonic acid",n/a,C16H14O9S,382.0358532,M+2H,+,192.025203,4
1300,1.09_192.0259n,192.0259,1.09,0.170953353,100,uRPOS,HMDB0150304,"{4-[5,7-dihydroxy-6-(hydroxymethyl)-4-oxo-3,4-dihydro-2H-1-benzopyran-2-yl]phenyl}oxidanesulfonic acid",n/a,C16H14O9S,382.0358532,M+2H,+,192.025203,4
1301,1.09_192.0259n,192.0259,1.09,0.170953353,100,uRPOS,HMDB0149282,"[3-hydroxy-2-methylidene-4-({7-oxo-7H-furo[3,2-g]chromen-4-yl}oxy)butoxy]sulfonic acid",n/a,C16H14O9S,382.0358532,M+2H,+,192.025203,4
1302,1.09_192.0259n,192.0259,1.09,0.170953353,100,uRPOS,HMDB0129428,"({2-methyl-3-[({7-oxo-7H-furo[3,2-g]chromen-4-yl}oxy)methyl]oxiran-2-yl}methoxy)sulfonic acid",n/a,C16H14O9S,382.0358532,M+2H,+,192.025203,4
1303,1.09_192.0259n,192.0259,1.09,0.170953353,100,uRPOS,HMDB0146220,"[2-hydroxy-5-(7-hydroxy-5-methoxy-4-oxo-3,4-dihydro-2H-1-benzopyran-2-yl)phenyl]oxidanesulfonic acid",n/a,C16H14O9S,382.0358532,M+2H,+,192.025203,4
1304,1.09_192.0259n,192.0259,1.09,0.170953353,100,uRPOS,HMDB0127512,"[5,7-dihydroxy-2-(4-methoxyphenyl)-4-oxo-3,4-dihydro-2H-1-benzopyran-3-yl]oxidanesulfonic acid",n/a,C16H14O9S,382.0358532,M+2H,+,192.025203,4
1305,1.09_192.0259n,192.0259,1.09,0.170953353,100,uRPOS,HMDB0128069,"{2-methoxy-5-[3-oxo-3-(2,4,6-trihydroxyphenyl)prop-1-en-1-yl]phenyl}oxidanesulfonic acid",n/a,C16H14O9S,382.0358532,M+2H,+,192.025203,4
1306,1.09_192.0259n,192.0259,1.09,0.170953353,100,uRPOS,HMDB0137347,"{3-[3-oxo-3-(2,4,6-trihydroxy-3-methoxyphenyl)prop-1-en-1-yl]phenyl}oxidanesulfonic acid",n/a,C16H14O9S,382.0358532,M+2H,+,192.025203,4
1307,1.09_192.0259n,192.0259,1.09,0.170953353,100,uRPOS,HMDB0137357,"{4-[3-oxo-3-(2,4,6-trihydroxy-3-methoxyphenyl)prop-1-en-1-yl]phenyl}oxidanesulfonic acid",n/a,C16H14O9S,382.0358532,M+2H,+,192.025203,4
1308,1.09_192.0259n,192.0259,1.09,0.170953353,100,uRPOS,HMDB0138635,"[4-(5,6-dimethoxy-1-benzofuran-2-yl)-2,6-dihydroxyphenyl]oxidanesulfonic acid",n/a,C16H14O9S,382.0358532,M+2H,+,192.025203,4
1309,1.09_192.0259n,192.0259,1.09,0.170953353,100,uRPOS,HMDB0128600,"[4-(5,7-dihydroxy-6-methoxy-4-oxo-3,4-dihydro-2H-1-benzopyran-2-yl)phenyl]oxidanesulfonic acid",n/a,C16H14O9S,382.0358532,M+2H,+,192.025203,4
1310,1.09_192.0259n,192.0259,1.09,0.170953353,100,uRPOS,HMDB0029202,hesperetin 3'-O-sulfate,n/a,C16H14O9S,382.0358527,M+2H,+,192.025202,4
1311,1.09_192.0259n,192.0259,1.09,0.170953353,100,uRPOS,HMDB0146225,"[4-(6,7-dihydroxy-5-methoxy-4-oxo-3,4-dihydro-2H-1-benzopyran-2-yl)phenyl]oxidanesulfonic acid",n/a,C16H14O9S,382.0358532,M+2H,+,192.025203,4
1312,1.09_192.0259n,192.0259,1.09,0.170953353,100,uRPOS,HMDB0146297,"[2-hydroxy-5-(5-hydroxy-7-methoxy-4-oxo-3,4-dihydro-2H-1-benzopyran-3-yl)phenyl]oxidanesulfonic acid",n/a,C16H14O9S,382.0358532,M+2H,+,192.025203,4
1464,2.15_205.0519m/z,205.0519,2.15,-0.163836014,100,uHPOS,HMDB0129043,"{5-[(E)-2-{3,5-dihydroxy-4-[(1E)-3-hydroxy-3-methylbut-1-en-1-yl]phenyl}ethenyl]-2-hydroxyphenyl}oxidanesulfonic acid",n/a,C19H20O8S,408.0878888,M+2H,+,205.05122,3
